date;Short Name;trip_headsign;stop_name;stop_id;arrival_time;departure_time;exception_type;stop_sequence;shape_id;timepoint;route_long_name;route_type;route_url;route_color;route_text_color;stop_lat;stop_lon;wheelchair_boarding
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;17:26:25;17:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Pl. Espanya;Castellbell i El Vilar;CB;21:36:00;21:36:30;1;5;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;16:26:25;16:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;22:45:40;22:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;19:26:25;19:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Pl. Espanya;Castellbell i El Vilar;CB;17:36:00;17:36:30;1;5;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;12:26:25;12:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;18:45:40;18:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;11:54:45;11:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;12:45:40;12:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;13:54:45;13:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Pl. Espanya;Castellbell i El Vilar;CB;10:36:00;10:36:30;1;5;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;13:26:25;13:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;14:45:40;14:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;14:54:45;14:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Pl. Espanya;Castellbell i El Vilar;CB;12:36:00;12:36:30;1;5;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;06:54:45;06:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;15:45:40;15:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;05:54:45;05:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Pl. Espanya;Castellbell i El Vilar;CB;06:36:00;06:36:30;1;5;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;08:54:45;08:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;09:45:40;09:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Pl. Espanya;Sant Boi;BO;08:26:25;08:26:55;1;22;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Pl. Espanya;Castellbell i El Vilar;CB;09:36:00;09:36:30;1;5;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R5;Manresa-Baixador;Sant Boi;BO;09:54:45;09:55:15;1;10;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R5;Manresa-Baixador;Castellbell i El Vilar;CB;10:45:40;10:46:10;1;27;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R6;Pl. Espanya;Sant Boi;BO;23:05:25;23:05:55;1;23;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R53;Pl. Espanya;Castellbell i El Vilar;CB;22:36:00;22:36:30;1;5;200058;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.64051706;1.8547935219999998;0
2024-05-18;R6;Igualada;Sant Boi;BO;17:27:45;17:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Sabadell Parc del Nord;Can Feu - Gràcia;CF;26:15:30;26:16:00;1;20;100010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;16:27:45;16:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Pl. Catalunya;Can Feu - Gràcia;CF;23:22:30;23:23:00;1;5;200010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;19:27:45;19:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Sabadell Parc del Nord;Can Feu - Gràcia;CF;25:30:30;25:31:00;1;20;100010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;18:27:45;18:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Pl. Catalunya;Can Feu - Gràcia;CF;11:07:30;11:08:00;1;5;200010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Pl. Espanya;Sant Boi;BO;20:04:25;20:04:55;1;23;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Sabadell Parc del Nord;Can Feu - Gràcia;CF;13:15:30;13:16:00;1;20;100010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;20:27:45;20:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Sabadell Parc del Nord;Can Feu - Gràcia;CF;12:55:30;12:56:00;1;20;100010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;12:27:45;12:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Pl. Catalunya;Can Feu - Gràcia;CF;12:27:30;12:28:00;1;5;200010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Pl. Espanya;Sant Boi;BO;11:04:25;11:04:55;1;23;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Sabadell Parc del Nord;Can Feu - Gràcia;CF;13:35:30;13:36:00;1;20;100010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;13:27:45;13:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
2024-05-18;S2;Pl. Catalunya;Can Feu - Gràcia;CF;09:27:30;09:28:00;1;5;200010;1;Barcelona Pl. Catalunya - Sabadell Parc del Nord;2;http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2;88BB0B;FFFFFF;41.542522966;2.100463866;0
2024-05-18;R6;Igualada;Sant Boi;BO;15:27:45;15:28:15;1;10;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.34856143;2.042855988;0
